Title,Category,Organization,Deadline,Location,Prize,URL,Status,Quality Score,Collected Date
Senior Java Developer,job,"Forta Solutions, LLC",,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=2418e315447e79b9&bb=nvEJwF7Hkc6HmJdf2TUAkzUsUR-xeRs-QXqvWbsDsYqet0kQLZrXy95t9bl6mtPjE1h803ycvUa5KSdsu17OyUKj_PXZk3LViU06qfhC1ONNGnk8g7hDBW-wOGk9gvuWTCzXPnzCd9mI9HGuRFsrz5krpOl20W63&xkcb=SoDy67M3pIzryGxOzJ0LbzkdCdPP&fccid=c7d02f9610281229&vjs=3,verified,100,2025-12-12 09:20:39
"Software Engineer, Backend",job,Clipboard,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=6adb6a3b8a00fa7f&bb=nvEJwF7Hkc6HmJdf2TUAk4gyzevaXYzjV9FVtI06IIv07bjntcZ3ZA8aPI3Mi803X1SnWAB2SnBCb9WJtfWvTKI8N6s-cPyA5BAk6RdhI1TK8fXWPePznRlJKc8YhHy9M_u7EpP68mlItKto8K34Rxmr3HPY-Qr0&xkcb=SoBG67M3pIzryGxOzJ0KbzkdCdPP&fccid=d3ca77cb287c7337&vjs=3,verified,100,2025-12-12 09:20:39
Staff Software Engineer,job,Wisdom,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=cfa2e636e51c745d&bb=nvEJwF7Hkc6HmJdf2TUAk9My1XrFk-97TFq3rl0WlHx33SCz_LQ-6kuXxDpOQZdmrWiWBBD4-BHHsohqLfweRO8oJkW9h4ZTRzMM9L8Umc60pWNNqBZVIAfj3b24mFjqsMtMFnhMKb9FcPJ_FkA7s3jcPniCwEvD&xkcb=SoDb67M3pIzryGxOzJ0JbzkdCdPP&fccid=d3d564ddcef19446&vjs=3,verified,100,2025-12-12 09:20:39
Software Engineer,job,Primordial Labs,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=89e5ead131f79af7&bb=nvEJwF7Hkc6HmJdf2TUAk-ELQrWBT9LhOXAMkqwgMIJWzPjg1ZMMmAzXMlosTvRKBot-T1ZdyapuvzY4n3s5AclCY8a5NJzEliwGZFsIvoPIVnBCjm98G4SwMFejQUxamb348tvfTU9GBo9QEQf1AJrvTc7LsKPL&xkcb=SoBv67M3pIzryGxOzJ0IbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,verified,100,2025-12-12 09:20:39
Software Engineer - Frontend (Experienced; Remote),job,Dagster Labs,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=bdfe9ad7044cda13&bb=nvEJwF7Hkc6HmJdf2TUAkzIMQvdaHW-LbszDac9WAobcbjj3Y7RAR5tkLmA7X349jInFLjhtQlaJTfeOhFZGKNzH4MBTbR-A5JaxR7E_yGR0cvzgmM2Brl6n0B3Lqi5rW_ziWM2zczosSiCz2Tf9ykbKQvzT29cl&xkcb=SoDh67M3pIzryGxOzJ0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,verified,100,2025-12-12 09:20:39
"Senior Software Engineer, IT",job,Turtle Rock Studios,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=9c83c4438fce87cc&bb=nvEJwF7Hkc6HmJdf2TUAk_HsBVCs3BwQvzZpIM-7XuYS2m19b6lCwAxUFfj5-GtieETD-F6pOV7hRR1vjDfLz_PC-PfpL1EZuyJdizx3BR8ejORTYogiXc5Dn2iFmtJq2BXHK0WI0v4b1rMsgRAwjiYdbFWZAO7I&xkcb=SoBV67M3pIzryGxOzJ0ObzkdCdPP&fccid=1b26edd1f5c55b65&vjs=3,verified,100,2025-12-12 09:20:39
DevRel Engineer - Fully Remote - American time zone - 96-120k USD,job,Inner Circle Agency Inc.,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=f0c8788935495c64&bb=nvEJwF7Hkc6HmJdf2TUAk9ACiNhIgfkR2J5sqLCm4Py5iQ56hu7r3LIySlqdB7RqCkYsLlBHg_HaPi8-s87ciyowbXcW5g-ne1UJR9In9T6bWWweBhJK9FdWQ6TPmJ0hnvZ67aajx-JF0N-l0xYf9-gATCMecdP7&xkcb=SoDI67M3pIzryGxOzJ0NbzkdCdPP&fccid=f0d1835725b38551&vjs=3,verified,100,2025-12-12 09:20:39
Senior Frontend/Full Stack Engineer,job,"Raken, Inc.",,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=43a7f1a9e4716fbc&bb=nvEJwF7Hkc6HmJdf2TUAkwkn8oL5dm1b_88aYnspcDUFWwJQbCzifqoUApXeFc8DwESIhyS6BmjI8tbMNuUGqdQ98plYO-w39Bt2ElCdfGalBkI5yMg3USmDn1kWL-ftSUDH-c1axE698YbzSfvaJ_sXf0sfzAXp&xkcb=SoB867M3pIzryGxOzJ0MbzkdCdPP&fccid=17a7a127b5445e42&vjs=3,verified,100,2025-12-12 09:20:39
English for Career Development,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/careerdevelopment,verified,80,2025-12-12 09:21:04
Introduction to Front-End Development,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/introduction-to-front-end-development,verified,80,2025-12-12 09:21:04
Social Psychology,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/social-psychology,verified,80,2025-12-12 09:21:04
Fundamentals of Graphic Design,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/fundamentals-of-graphic-design,verified,80,2025-12-12 09:21:04
